Date,temp_max,temp_min,temp_mean,precip,pressure,sunshine,wind
2005-05-10,14.670171,6.0190167,10.047171,2.9732912,1003.51117,5.6851554,2.1715007
2005-05-11,14.702661,6.531377,10.045976,4.130596,1004.7231,3.7871995,2.2216597
2005-05-12,18.769548,6.791734,12.852006,0.19037843,1007.46906,8.495822,1.9516428
2005-05-13,20.380611,6.7228894,13.796225,0.3176928,1007.9581,9.563364,1.9169924
2005-05-14,25.001574,10.006802,17.562971,2.3720036,1002.87274,8.678512,1.9385259
2005-05-15,22.521093,10.097541,16.281462,3.1332126,1003.14404,7.648934,1.9977357
2005-05-16,25.33573,12.059586,18.853405,2.6052067,1001.5133,9.01733,1.8866806
2005-05-17,23.792526,13.184077,18.072035,5.3763857,1001.49945,5.190015,2.0197618
2005-05-18,23.877317,12.824742,18.233578,3.5308604,1000.7861,6.82326,1.8936892
2005-05-19,14.86525,8.278006,11.01756,4.252836,1006.88806,3.917599,2.082037
2005-05-20,17.052296,8.93039,12.454828,3.4839385,1006.40906,4.8293157,2.0249877
2005-05-21,23.946209,10.631801,17.276697,0.70458555,1005.4651,9.294767,1.8388767
2005-05-22,27.125282,11.630027,19.410643,1.2992744,1004.32654,9.752,1.8487849
2005-05-23,27.035965,12.196453,19.534592,2.4123735,1002.8664,8.800273,1.8966619
2005-05-24,22.650885,11.353714,16.76421,3.2865548,1005.25854,7.342268,1.9937356
2005-05-25,24.05919,13.360926,18.197315,4.276588,1005.9312,5.888471,2.0009253
2005-05-26,28.112938,13.500934,21.109697,-0.020315252,1007.87506,11.179462,1.7216415
2005-05-27,31.183111,15.27883,23.433609,1.7197984,1006.0376,10.821162,1.7803137
2005-05-28,30.154737,15.109414,22.773695,1.9223287,1005.48816,10.526993,1.7825135
2005-05-29,30.773582,16.395216,23.571646,3.1014936,1003.3753,9.637795,1.8212006
2005-05-30,31.891705,16.827417,24.571514,1.9486638,1002.5189,11.297644,1.730294
2005-05-31,24.461445,12.980961,18.856613,2.3783002,1006.0355,10.012858,1.8716493
2005-06-01,25.836142,13.600178,19.891447,2.2918186,1005.66016,10.934652,1.8461196
2005-06-02,24.809221,12.574721,18.823942,2.1477327,1006.6535,10.72046,1.872527
2005-06-03,26.673697,12.972589,20.139526,1.7035015,1005.103,11.850135,1.8386159
2005-06-04,30.063417,14.85298,22.77312,2.6037884,1001.93176,11.495992,1.8394814
2005-06-05,21.967257,12.630849,16.809612,5.6883516,1005.4454,5.3690095,2.0534627
2005-06-06,20.729204,12.231179,16.070984,4.642125,1005.2225,5.0962486,1.9466462
2005-06-07,21.39729,10.211297,15.982615,1.2488225,1006.82104,8.493609,1.7891203
2005-06-08,14.619952,7.2201343,10.460049,4.104387,1009.8344,4.3597865,2.0835488
2005-06-09,13.2917,6.7453856,9.511412,4.13894,1007.52484,4.284747,2.1200616
2005-06-10,15.325915,7.811449,11.165142,3.9753547,1005.6969,4.702136,2.1303532
2005-06-11,24.012684,11.080031,17.698895,1.3810282,1002.8627,9.180674,1.9237788
2005-06-12,25.688278,11.8889885,18.995678,1.9604533,1002.41754,9.762563,1.9797454
